;Definition;Type;Example;synonyms
generation;"A generation is all the people in a group or country who are of a similar age, especially when they are considered as having the same experiences or attitudes.
";countable noun; ...the younger generation of Party members.;age,period,era,time,range,class,series,type,production,manufacture,creation,
genetic;"You use genetic to describe something that is concerned with genetics or with genes.
";adjective; Cystic fibrosis is the most common fatal genetic disease in the United States.;
gentleman;"A gentleman is a man who comes from a family of high social standing.
";countable noun; ...this wonderful portrait of English gentleman Joseph Greenway.;
gently;" in a gentle manner or to a gentle degree
";adverb;Adrina rolled her eyes, but she put her arms around him and hugged him gently.;
German;"German means belonging or relating to Germany, or to its people, language, or culture.
";adjective; Shares in both German carmakers fell.;
gesture;"A gesture is a movement that you make with a part of your body, especially your hands, to express emotion or information.
";countable noun; Sarah made a menacing gesture with her fist.;sign,action,signal,motion,signal,sign,wave,indicate,
get;"You use get with adjectives to mean 'become'. For example, if someone gets cold, they become cold, and if they get angry, they become angry.
";link verb; The boys were getting bored.;become,grow,turn,wax,move,touch,affect,excite,persuade,convince,induce,arrive,come,reach,manage,fix,succeed,arrange,inherit,annoy,upset,anger,bother,obtain,receive,gain,acquire,earn,receive,make,collect,fetch,bring,collect,understand,follow,catch,see,catch,develop,contract,
ghost;"A ghost is the spirit of a dead person that someone believes they can see or feel.
";countable noun; ...the ghost of Marie Antoinette.;spirit,soul,phantom,spectre,trace,shadow,suggestion,hint,
giant;"Something that is described as giant is much larger or more important than most others of its kind.
";adjective; ...Italy's giant car maker, Fiat.;huge,great,large,vast,ogre,monster,titan,
gift;"A gift is something that you give someone as a present.
";countable noun; ...a gift of $50.00.;donation,offering,present,contribution,talent,ability,capacity,genius,
gifted;"Someone who is gifted has a natural ability to do something well.
";adjective; ...one of the most gifted players in the world.;talented,able,skilled,expert,
girl;"A girl is a female child.
";countable noun; ...an eleven year old girl.;lass,
girlfriend;"Someone's girlfriend is a girl or woman with whom they are having a romantic or sexual relationship.
";countable noun; He had been going out with his girlfriend for seven months.;sweetheart,love,girl,lover,
give;"You can use give with nouns that refer to physical actions. The whole expression refers to the performing of the action. For example, She gave a smile means almost the same as 'She smiled'.
";verb; She stretched her arms out and gave a great yawn.;perform,do,execute,communicate,announce,publish,transmit,produce,make,cause,organize,hold,provide,host,present,contribute,donate,provide,confer,allow,accord,award,collapse,fall,break,sink,
given;"Given is the past participle of give1.
";adjective; In chess there are typically about 36 legal moves from any given board position.;inclined,addicted,disposed,prone,
glad;"If you are glad about something, you are happy and pleased about it.
";adjective; I'm glad I relented in the end.;happily,delight,pleasure,joy,willing,prepared,happy,pleased,happily,freely,happily,readily,
glance;"If you glance at something or someone, you look at them very quickly and then look away again immediately.
";verb; He glanced at his watch.;peek,look,view,check,scan,browse,peek,look,glimpse,peep,
glass;"Glass is a hard transparent substance that is used to make things such as windows and bottles.
";uncountable noun; ...a pane of glass.;
global;"You can use global to describe something that happens in all parts of the world or affects all parts of the world.
";adjective; ...a global ban on nuclear testing.;worldwide,world,international,universal,comprehensive,general,total,thorough,
glove;"Gloves are pieces of clothing which cover your hands and wrists and have individual sections for each finger. You wear gloves to keep your hands warm or dry or to protect them.
";countable noun; He stuck his gloves in his pocket.;gauntlet,
go;"When you go somewhere, you move or travel there.
";verb; We went to Rome.;move,travel,advance,journey,lead,run,spread,belong,become,get,turn,proceed,develop,turn out,work out,sound,ring,toll,chime,attempt,try,effort,bid,
goal;"In games such as football, netball, or hockey, the goal is the space into which the players try to get the ball in order to score a point for their team.
";countable noun; The keeper was back in goal after breaking a knuckle.;aim,end,target,purpose,
God;"The name God is given to the spirit or being who is worshipped as the creator and ruler of the world, especially by Jews, Christians, and Muslims.
";proper noun; He believes in God.;deity,immortal,divinity,
gold;"Gold is a valuable, yellow-coloured metal that is used for making jewellery and ornaments, and as an international currency.
";uncountable noun; ...a sapphire set in gold.;
golden;"Something that is golden is bright yellow in colour.
";adjective; She combed and arranged her golden hair.;yellow,bright,brilliant,blonde,promising,excellent,valuable,favourable,
golf;"Golf is a game in which you use long sticks called clubs to hit a small, hard ball into holes that are spread out over a large area of grassy land.
";uncountable noun;The pair wanted to inspire more people with disabilities to play golf.;
good;"Good means pleasant or enjoyable.
";adjective; We had a really good time together.;proficient,able,skilled,capable,positive,beneficial,favourable,advantageous,sensible,useful,wise,valuable,desirable,pleasing,positive,productive,clear,correct,accurate,exact,beneficial,useful,healthy,helpful,benefit,interest,gain,advantage,virtue,goodness,worth,honourable,moral,worthy,ethical,cheerful,happy,pleasant,agreeable,
